native_id	scan	ms_level	rt_min	precursor_ref	precursor_mz	signal_sha256	inside_requested_window
controllerType=0 controllerNumber=1 scan=18210	18210	2	48.300637	controllerType=0 controllerNumber=1 scan=18202	543.804626464844	1c73066123fa930b0db981859f45b60d6b78376011a446e39906eae897e6465e	True
controllerType=0 controllerNumber=1 scan=18211	18211	2	48.30103	controllerType=0 controllerNumber=1 scan=18202	508.774780273438	d5099265622c1eda7db62509afb29d6c58d1b96178085e3c5f83f3d65b3215cd	True
controllerType=0 controllerNumber=1 scan=18212	18212	2	48.301768	controllerType=0 controllerNumber=1 scan=18202	422.223022460938	98585644f60e9ba8cc498d70b4fb373a424319336b541e8052078fbfcfcbd31a	True
controllerType=0 controllerNumber=1 scan=18213	18213	2	48.302501	controllerType=0 controllerNumber=1 scan=18202	559.795959472656	e0a54f0a3185ce3373a44a1949ec9463ce0327ee45afbe9f43d27aa41074be65	True
controllerType=0 controllerNumber=1 scan=18214	18214	2	48.303076	controllerType=0 controllerNumber=1 scan=18202	445.2306	616bd61c595abe1399d385a970cf346e0c0b635ad7e66c582cfb430538cfbfdc	True
controllerType=0 controllerNumber=1 scan=18215	18215	2	48.30381	controllerType=0 controllerNumber=1 scan=18202	543.232116699219	a4d76fce4c2fd1c43408804aa9ad91508744196a33e22ff26cdce4c748170c75	True
controllerType=0 controllerNumber=1 scan=18216	18216	2	48.30456	controllerType=0 controllerNumber=1 scan=18202	490.7286	f8100e8db25151c1cde29e240b08415664e4377247645ecd2834d281946f6aae	True
controllerType=0 controllerNumber=1 scan=18217	18217	2	48.305297	controllerType=0 controllerNumber=1 scan=18202	675.8672	822f374a5f296f2cf8a8388e4c9c6653b821f7dc1d39d979cc689b568d598194	True
controllerType=0 controllerNumber=1 scan=18218	18218	1	48.306364			26926f871fb93ded2adcbe8f63f5230aaa5f8c07f5d93e02ba3195138bc12d26	True
controllerType=0 controllerNumber=1 scan=18219	18219	2	48.308495	controllerType=0 controllerNumber=1 scan=18218	540.292053222656	e4951116b220f8fb13688c29efe9f63e2737083e3296e061d63fbb9415a1bf5e	True
controllerType=0 controllerNumber=1 scan=18220	18220	2	48.309247	controllerType=0 controllerNumber=1 scan=18218	653.9691	0bb452c7b363b4d6e23c08d4a43f6d5b9285bb2113ef5ab71776d0099fe90b0d	True
controllerType=0 controllerNumber=1 scan=18221	18221	2	48.30998	controllerType=0 controllerNumber=1 scan=18218	390.5377	be7df72b57bf56ea27e0becddaa6abc0a300fe5ea3532d0e66ade1fbe10c7bcd	True
controllerType=0 controllerNumber=1 scan=18222	18222	2	48.310718	controllerType=0 controllerNumber=1 scan=18218	477.585357666016	87501cc7b0759c4c8553850b528268e90972310312dc890370a7788106aa422a	True
controllerType=0 controllerNumber=1 scan=18223	18223	2	48.311235	controllerType=0 controllerNumber=1 scan=18218	509.603302001953	82dfa8530395bb301cbc6d0c811b93da6f02f6381f5be4eedeb63b2993a70aac	True
controllerType=0 controllerNumber=1 scan=18224	18224	2	48.31197	controllerType=0 controllerNumber=1 scan=18218	664.3408	0d7417ec000a55a414c1be532705477f07e77027f0bdfd4a739ec60ed6be9376	True
controllerType=0 controllerNumber=1 scan=18225	18225	2	48.312703	controllerType=0 controllerNumber=1 scan=18218	540.758361816406	35811e6abda7e3e6f0222cd3a71cd1ba9efb89703de02f41f3e12dcd6e4f2fbe	True
controllerType=0 controllerNumber=1 scan=18226	18226	2	48.313437	controllerType=0 controllerNumber=1 scan=18218	480.212524414063	c2a207e9fa90774697f544df92c9d24ff9d42ec933edc186edccf4f2b819c9cc	True
controllerType=0 controllerNumber=1 scan=18227	18227	2	48.31417	controllerType=0 controllerNumber=1 scan=18218	567.734497070313	6cb7e0d5529782c6b5cf78aff165fdf000fbbc598b0ccf30333dc75053115b30	True
controllerType=0 controllerNumber=1 scan=18228	18228	2	48.314914	controllerType=0 controllerNumber=1 scan=18218	484.2368	e5ab9a3f2bdb44fae5ec735e344ac83b29d80d56ec62604b036ff0b5f692eef5	True
controllerType=0 controllerNumber=1 scan=18229	18229	2	48.315655	controllerType=0 controllerNumber=1 scan=18218	506.229339599609	ec40445ff401367ecccf8fadd62c800705086e0c39e744d76c30f3aad2f3f75b	True
controllerType=0 controllerNumber=1 scan=18230	18230	2	48.316393	controllerType=0 controllerNumber=1 scan=18218	451.568664550781	e11bf9affc3029a86e24948a1d6272709188ca9a8fd66d238ac02576938f5679	True
controllerType=0 controllerNumber=1 scan=18231	18231	2	48.317132	controllerType=0 controllerNumber=1 scan=18218	696.390686035156	5e1ef00e81e83e7a3d9abc0b10ced809b9abcde378e9a019241afa61a9cf757f	True
controllerType=0 controllerNumber=1 scan=18232	18232	2	48.317866	controllerType=0 controllerNumber=1 scan=18218	390.521728515625	76708da1417bd2892118a66b8986d0db7e376371ed43db0e7dbb62be2ae5659b	True
controllerType=0 controllerNumber=1 scan=18233	18233	2	48.318607	controllerType=0 controllerNumber=1 scan=18218	746.818115234375	d741af760c987628a21ea1acca62c4a5c69ed92f70c82137db6f8252b982a880	True
controllerType=0 controllerNumber=1 scan=18234	18234	1	48.319659			61817ff71f91f5d3f7753575a960931b5af81886d44bf999cac10775d66dd00d	True
