sample	sample_group	study_group	n_peptides	n_features	intensity
S01	CAMPI_5dee3b78e4f47d2f2250c740f8360a26a7185635f84370546e7091da51256240	CAMPI_5dee3b78e4f47d2f2250c740f8360a26a7185635f84370546e7091da51256240	2	2	35983824.08142011
S01	CAMPI_5eacaf21c95da0867b6d6779e51ee67139cb18e7fd7a9a27fea3587dc9e7e217	CAMPI_5eacaf21c95da0867b6d6779e51ee67139cb18e7fd7a9a27fea3587dc9e7e217	2	2	18106661.413746923
S01	CAMPI_5ebef3929cbc63751215d043784792f6df8532f17ac6b98f18ea6942ff199da7	CAMPI_5ebef3929cbc63751215d043784792f6df8532f17ac6b98f18ea6942ff199da7	2	2	41810387.13306054
S01	CAMPI_5ecfd71281d61caeea4220c72105cd5c828228bcba90cfd6adc96a7188e1383d	CAMPI_5ecfd71281d61caeea4220c72105cd5c828228bcba90cfd6adc96a7188e1383d	2	2	512141940.87788004
S01	CAMPI_5ecfe2d9ee91198c8f47c0f7854fb62dcc83494e53844279ad4e28c891c41616	CAMPI_5ecfe2d9ee91198c8f47c0f7854fb62dcc83494e53844279ad4e28c891c41616	1	1	96795338.4936404
S01	CAMPI_5f3369c6616e3fb2fb04fd51075edb6c2d99fdc84bc0187876c88558997af621	CAMPI_5f3369c6616e3fb2fb04fd51075edb6c2d99fdc84bc0187876c88558997af621	1	1	143393979.56911057
S01	CAMPI_5fa54c2286edd8dcdb22f509f2af0096eb1c24e7fe04fd75f38ef18ba45017d7	CAMPI_5fa54c2286edd8dcdb22f509f2af0096eb1c24e7fe04fd75f38ef18ba45017d7	1	1	54563274.227175176
S01	CAMPI_5fcf34444580d50641494c6b3c7a1bb945ff09d864fac723d88523a43461ecb5	CAMPI_5fcf34444580d50641494c6b3c7a1bb945ff09d864fac723d88523a43461ecb5	4	4	471350622.7348886
S01	CAMPI_606b1ff8b10a07008880e2446c26f2d41a5124e1c3446892bf625973503fab63	CAMPI_606b1ff8b10a07008880e2446c26f2d41a5124e1c3446892bf625973503fab63	1	1	32968210.141211048
S01	CAMPI_615055f071714139296bc6ed18dd86d6b07ee5775074ad065d60479c7108750d	CAMPI_615055f071714139296bc6ed18dd86d6b07ee5775074ad065d60479c7108750d	1	1	7234982.720245915
